Name;URL;Codename;Cores;Clock;Socket;Process;L3 Cache;TDP;Released;Vendor
EPYC 9755;/cpu-specs/epyc-9755.c3881;Turin;128  / 256;2.7 to 4.1 GHz;Socket SP5;4 nm;512 MB;500 W;Oct 10th, 2024;AMD
EPYC 9825;/cpu-specs/epyc-9825.c3906;Turin;144  / 288;2.2 to 3.7 GHz;Socket SP5;3 nm;384 MB;390 W;Oct 10th, 2024;AMD
EPYC 9845;/cpu-specs/epyc-9845.c3905;Turin;160  / 320;2.1 to 3.7 GHz;Socket SP5;3 nm;320 MB;390 W;Oct 10th, 2024;AMD
EPYC 9965;/cpu-specs/epyc-9965.c3904;Turin;192  / 384;2.25 to 3.7 GHz;Socket SP5;3 nm;384 MB;500 W;Oct 10th, 2024;AMD
EPYC Embedded 8434P;/cpu-specs/epyc-embedded-8434p.c3910;Siena;48  / 96;2.5 to 3.1 GHz;Socket SP6;5 nm;128 MB;200 W;Oct 1st, 2024;AMD
EPYC Embedded 8534P;/cpu-specs/epyc-embedded-8534p.c3909;Siena;64  / 128;2.3 to 3.1 GHz;Socket SP6;5 nm;128 MB;200 W;Oct 1st, 2024;AMD
Ryzen 3 8300G;/cpu-specs/ryzen-3-8300g.c3459;Phoenix2;4  / 8;3.4 to 4.9 GHz;Socket AM5;4 nm;8 MB;65 W;Jan 8th, 2024;AMD
Ryzen 5 5500GT;/cpu-specs/ryzen-5-5500gt.c3439;Cezanne;6  / 12;3.6 to 4.4 GHz;Socket AM4;7 nm;16 MB;65 W;Jan 8th, 2024;AMD
Ryzen 5 5600GT;/cpu-specs/ryzen-5-5600gt.c3438;Cezanne;6  / 12;3.6 to 4.6 GHz;Socket AM4;7 nm;16 MB;65 W;Jan 8th, 2024;AMD
Ryzen 5 7600X3D;/cpu-specs/ryzen-5-7600x3d.c3792;Raphael;6  / 12;4.1 to 4.7 GHz;Socket AM5;5 nm;96 MB;65 W;Aug 30th, 2024;AMD
Ryzen 5 8400F;/cpu-specs/ryzen-5-8400f.c3568;Phoenix;6  / 12;4.2 to 4.7 GHz;Socket AM5;4 nm;16 MB;65 W;Apr 1st, 2024;AMD
Ryzen 5 8500G;/cpu-specs/ryzen-5-8500g.c3436;Phoenix2;6  / 12;3.5 to 5 GHz;Socket AM5;4 nm;16 MB;65 W;Jan 8th, 2024;AMD
Ryzen 5 8600G;/cpu-specs/ryzen-5-8600g.c3435;Phoenix;6  / 12;4.3 to 5 GHz;Socket AM5;4 nm;16 MB;65 W;Jan 8th, 2024;AMD
Ryzen 5 9600X;/cpu-specs/ryzen-5-9600x.c3652;Granite Ridge;6  / 12;3.9 to 5.4 GHz;Socket AM5;4 nm;32 MB;65 W;Aug 8th, 2024;AMD
Ryzen 5 PRO 8540U;/cpu-specs/ryzen-5-pro-8540u.c3576;Hawk Point;6  / 12;3.2 to 4.9 GHz;Socket FP7;4 nm;16 MB;28 W;Apr 16th, 2024;AMD
Ryzen 5 PRO 8640HS;/cpu-specs/ryzen-5-pro-8640hs.c3575;Hawk Point;6  / 12;3.5 to 4.9 GHz;Socket FP7;4 nm;16 MB;28 W;Apr 16th, 2024;AMD
Ryzen 5 PRO 8640U;/cpu-specs/ryzen-5-pro-8640u.c3574;Hawk Point;6  / 12;3.5 to 4.9 GHz;Socket FP7;4 nm;16 MB;28 W;Apr 16th, 2024;AMD
Ryzen 5 PRO 8645HS;/cpu-specs/ryzen-5-pro-8645hs.c3573;Hawk Point;6  / 12;4.3 to 5 GHz;Socket FP7;4 nm;16 MB;45 W;Apr 16th, 2024;AMD
Ryzen 7 5700X3D;/cpu-specs/ryzen-7-5700x3d.c3437;Vermeer;8  / 16;3 to 4.1 GHz;Socket AM4;7 nm;96 MB;105 W;Jan 8th, 2024;AMD
Ryzen 7 5800XT;/cpu-specs/ryzen-7-5800xt.c3654;Vermeer;8  / 16;3.8 to 4.8 GHz;Socket AM4;7 nm;32 MB;105 W;Jul 31st, 2024;AMD
Ryzen 7 8700F;/cpu-specs/ryzen-7-8700f.c3567;Phoenix;8  / 16;4.1 to 5 GHz;Socket AM5;4 nm;16 MB;65 W;Apr 1st, 2024;AMD
Ryzen 7 8700G;/cpu-specs/ryzen-7-8700g.c3434;Phoenix;8  / 16;4.2 to 5.1 GHz;Socket AM5;4 nm;16 MB;65 W;Jan 8th, 2024;AMD
Ryzen 7 8700GE;/cpu-specs/ryzen-7-8700ge.c3493;Phoenix;8  / 16;3.6 to 4.8 GHz;Socket AM5;4 nm;16 MB;35 W;Unknown;AMD
Ryzen 7 9700X;/cpu-specs/ryzen-7-9700x.c3651;Granite Ridge;8  / 16;3.8 to 5.5 GHz;Socket AM5;4 nm;32 MB;65 W;Aug 8th, 2024;AMD
Ryzen 7 9800X3D;/cpu-specs/ryzen-7-9800x3d.c3891;Granite Ridge;8  / 16;4.7 to 5.2 GHz;Socket AM5;4 nm;96 MB;120 W;Nov 7th, 2024;AMD
Ryzen 7 PRO 8840HS;/cpu-specs/ryzen-7-pro-8840hs.c3571;Hawk Point;8  / 16;3.3 to 5.1 GHz;Socket FP7;4 nm;16 MB;28 W;Apr 16th, 2024;AMD
Ryzen 7 PRO 8840U;/cpu-specs/ryzen-7-pro-8840u.c3572;Hawk Point;8  / 16;3.3 to 5.1 GHz;Socket FP7;4 nm;16 MB;28 W;Apr 16th, 2024;AMD
Ryzen 7 PRO 8845HS;/cpu-specs/ryzen-7-pro-8845hs.c3570;Hawk Point;8  / 16;3.8 to 5.1 GHz;Socket FP7;4 nm;16 MB;45 W;Apr 16th, 2024;AMD
Ryzen 9 5900XT;/cpu-specs/ryzen-9-5900xt.c3653;Vermeer;16  / 32;3.3 to 4.8 GHz;Socket AM4;7 nm;64 MB;105 W;Jul 31st, 2024;AMD
Ryzen 9 9900X;/cpu-specs/ryzen-9-9900x.c3650;Granite Ridge;12  / 24;4.4 to 5.6 GHz;Socket AM5;4 nm;64 MB;120 W;Aug 15th, 2024;AMD
Ryzen 9 9950X;/cpu-specs/ryzen-9-9950x.c3649;Granite Ridge;16  / 32;4.3 to 5.7 GHz;Socket AM5;4 nm;64 MB;170 W;Aug 15th, 2024;AMD
Ryzen 9 PRO 8945HS;/cpu-specs/ryzen-9-pro-8945hs.c3569;Hawk Point;8  / 16;4 to 5.2 GHz;Socket FP7;4 nm;16 MB;45 W;Apr 16th, 2024;AMD
Ryzen AI 9 365;/cpu-specs/ryzen-ai-9-365.c3656;Strix Point;10  / 20;2 to 5 GHz;Socket FP8;4 nm;16 MB;28 W;Jul 2024;AMD
Ryzen AI 9 HX 370;/cpu-specs/ryzen-ai-9-hx-370.c3655;Strix Point;12  / 24;2 to 5.1 GHz;Socket FP8;4 nm;16 MB;28 W;Jul 2024;AMD
Ryzen AI 9 HX 375;/cpu-specs/ryzen-ai-9-hx-375.c3815;Strix Point;12  / 24;2 to 5.1 GHz;Socket FP8;4 nm;16 MB;28 W;Jul 2024;AMD
Ryzen Embedded 8640U;/cpu-specs/ryzen-embedded-8640u.c3581;Hawk Point;6  / 12;3.5 to 4.9 GHz;Socket FP8;4 nm;16 MB;28 W;Apr 2nd, 2024;AMD
Ryzen Embedded 8645HS;/cpu-specs/ryzen-embedded-8645hs.c3580;Hawk Point;6  / 12;4.3 to 5 GHz;Socket FP8;4 nm;16 MB;45 W;Apr 2nd, 2024;AMD
Ryzen Embedded 8840U;/cpu-specs/ryzen-embedded-8840u.c3578;Hawk Point;8  / 16;3.3 to 5.1 GHz;Socket FP8;4 nm;16 MB;28 W;Apr 2nd, 2024;AMD
Ryzen Embedded 8845HS;/cpu-specs/ryzen-embedded-8845hs.c3577;Hawk Point;8  / 16;3.8 to 5.1 GHz;Socket FP8;4 nm;16 MB;45 W;Apr 2nd, 2024;AMD
Atom x7203C;/cpu-specs/atom-x7203c.c3725;Amston Lake;2 ;2 to 3.2 GHz;BGA 1264;10 nm;6 MB;9 W;Apr 8th, 2024;Intel
Atom x7211RE;/cpu-specs/atom-x7211re.c3719;Amston Lake;2 ;1 to 3.2 GHz;BGA 1264;10 nm;6 MB;6 W;Apr 8th, 2024;Intel
Atom x7213RE;/cpu-specs/atom-x7213re.c3720;Amston Lake;2 ;2 to 3.4 GHz;BGA 1264;10 nm;6 MB;9 W;Apr 8th, 2024;Intel
Atom x7405C;/cpu-specs/atom-x7405c.c3724;Amston Lake;4 ;1.7 to 3.4 GHz;BGA 1264;10 nm;6 MB;12 W;Apr 8th, 2024;Intel
Atom x7433RE;/cpu-specs/atom-x7433re.c3721;Amston Lake;4 ;1.5 to 3.4 GHz;BGA 1264;10 nm;6 MB;9 W;Apr 8th, 2024;Intel
Atom x7809C;/cpu-specs/atom-x7809c.c3723;Amston Lake;8 ;2 to 3.6 GHz;BGA 1264;10 nm;6 MB;25 W;Apr 8th, 2024;Intel
Atom x7835RE;/cpu-specs/atom-x7835re.c3722;Amston Lake;8 ;1.3 to 3.6 GHz;BGA 1264;10 nm;6 MB;12 W;Apr 8th, 2024;Intel
Core Ultra 3 105UL;/cpu-specs/core-ultra-3-105ul.c3709;Meteor Lake-PS;8  / 10;1.5 to 4.2 GHz;Socket 1851;7 nm;10 MB;15 W;Apr 8th, 2024;Intel
Core Ultra 5 125HL;/cpu-specs/core-ultra-5-125hl.c3708;Meteor Lake-PS;14  / 18;1.2 to 4.5 GHz;Socket 1851;7 nm;18 MB;45 W;Apr 8th, 2024;Intel
Core Ultra 5 125UL;/cpu-specs/core-ultra-5-125ul.c3710;Meteor Lake-PS;12  / 14;1.3 to 4.3 GHz;Socket 1851;7 nm;12 MB;15 W;Apr 8th, 2024;Intel
Core Ultra 5 135HL;/cpu-specs/core-ultra-5-135hl.c3707;Meteor Lake-PS;14  / 18;1.7 to 4.6 GHz;Socket 1851;7 nm;18 MB;45 W;Apr 8th, 2024;Intel
Core Ultra 5 135UL;/cpu-specs/core-ultra-5-135ul.c3711;Meteor Lake-PS;12  / 14;1.6 to 4.4 GHz;Socket 1851;7 nm;12 MB;15 W;Apr 8th, 2024;Intel
Core Ultra 5 226V;/cpu-specs/core-ultra-5-226v.c3800;Lunar Lake;8 ;2.1 to 4.5 GHz;BGA 2833;3 nm;8 MB;17 W;Sep 24th, 2024;Intel
Core Ultra 5 228V;/cpu-specs/core-ultra-5-228v.c3799;Lunar Lake;8 ;2.1 to 4.5 GHz;BGA 2833;3 nm;8 MB;17 W;Sep 24th, 2024;Intel
Core Ultra 5 236V;/cpu-specs/core-ultra-5-236v.c3798;Lunar Lake;8 ;2.1 to 4.7 GHz;BGA 2833;3 nm;8 MB;17 W;Sep 24th, 2024;Intel
Core Ultra 5 238V;/cpu-specs/core-ultra-5-238v.c3797;Lunar Lake;8 ;2.1 to 4.7 GHz;BGA 2833;3 nm;8 MB;17 W;Sep 24th, 2024;Intel
Core Ultra 5 245K;/cpu-specs/core-ultra-5-245k.c3781;Arrow Lake-S;14 ;4.2 to 5.2 GHz;Socket 1851;3 nm;24 MB;125 W;Oct 24th, 2024;Intel
Core Ultra 5 245KF;/cpu-specs/core-ultra-5-245kf.c3782;Arrow Lake-S;14 ;4.2 to 5.2 GHz;Socket 1851;3 nm;24 MB;125 W;Oct 24th, 2024;Intel
Core Ultra 7 155HL;/cpu-specs/core-ultra-7-155hl.c3706;Meteor Lake-PS;16  / 22;1.4 to 4.8 GHz;Socket 1851;7 nm;24 MB;45 W;Apr 8th, 2024;Intel
Core Ultra 7 155UL;/cpu-specs/core-ultra-7-155ul.c3712;Meteor Lake-PS;12  / 14;1.7 to 4.8 GHz;Socket 1851;7 nm;12 MB;15 W;Apr 8th, 2024;Intel
Core Ultra 7 165HL;/cpu-specs/core-ultra-7-165hl.c3705;Meteor Lake-PS;16  / 22;1.4 to 5 GHz;Socket 1851;7 nm;24 MB;45 W;Apr 8th, 2024;Intel
Core Ultra 7 165UL;/cpu-specs/core-ultra-7-165ul.c3713;Meteor Lake-PS;12  / 14;1.7 to 4.9 GHz;Socket 1851;7 nm;12 MB;15 W;Apr 8th, 2024;Intel
Core Ultra 7 256V;/cpu-specs/core-ultra-7-256v.c3796;Lunar Lake;8 ;2.2 to 4.8 GHz;BGA 2833;3 nm;12 MB;17 W;Sep 24th, 2024;Intel
Core Ultra 7 258V;/cpu-specs/core-ultra-7-258v.c3795;Lunar Lake;8 ;2.2 to 4.8 GHz;BGA 2833;3 nm;12 MB;17 W;Sep 24th, 2024;Intel
Core Ultra 7 265K;/cpu-specs/core-ultra-7-265k.c3776;Arrow Lake-S;20 ;3.9 to 5.5 GHz;Socket 1851;3 nm;30 MB;125 W;Oct 24th, 2024;Intel
Core Ultra 7 265KF;/cpu-specs/core-ultra-7-265kf.c3778;Arrow Lake-S;20 ;3.9 to 5.5 GHz;Socket 1851;3 nm;30 MB;125 W;Oct 24th, 2024;Intel
Core Ultra 7 266V;/cpu-specs/core-ultra-7-266v.c3794;Lunar Lake;8 ;2.2 to 5 GHz;BGA 2833;3 nm;12 MB;17 W;Sep 24th, 2024;Intel
Core Ultra 7 268V;/cpu-specs/core-ultra-7-268v.c3793;Lunar Lake;8 ;2.2 to 5 GHz;BGA 2833;3 nm;12 MB;17 W;Sep 24th, 2024;Intel
Core Ultra 9 285K;/cpu-specs/core-ultra-9-285k.c3773;Arrow Lake-S;24 ;3.7 to 5.7 GHz;Socket 1851;3 nm;36 MB;125 W;Oct 24th, 2024;Intel
Core Ultra 9 288V;/cpu-specs/core-ultra-9-288v.c3755;Lunar Lake;8 ;3.3 to 5.1 GHz;BGA 2833;3 nm;12 MB;30 W;Sep 24th, 2024;Intel
Processor 300;/cpu-specs/processor-300.c3457;Raptor Lake-S;2  / 4;3.9 GHz;Socket 1700;10 nm;6 MB;46 W;Jan 8th, 2024;Intel
Processor 300T;/cpu-specs/processor-300t.c3458;Raptor Lake-S;2  / 4;3.4 GHz;Socket 1700;10 nm;6 MB;35 W;Jan 8th, 2024;Intel
Core 3 100HL;/cpu-specs/core-3-100hl.c3714;Raptor Lake-PS;8  / 12;2.1 to 4.6 GHz;Socket 1700;10 nm;12 MB;45 W;Apr 8th, 2024;Intel
Core 3 100U;/cpu-specs/core-3-100u.c3461;Raptor Lake-U;6  / 8;1.2 to 4.7 GHz;BGA 1744;10 nm;10 MB;15 W;Jan 8th, 2024;Intel
Core 3 100UL;/cpu-specs/core-3-100ul.c3467;Raptor Lake-PS;6  / 8;1.2 to 4.5 GHz;Socket 1700;10 nm;10 MB;15 W;Apr 8th, 2024;Intel
Core 5 120HL;/cpu-specs/core-5-120hl.c3715;Raptor Lake-PS;12  / 16;2.6 to 4.7 GHz;Socket 1700;10 nm;18 MB;45 W;Apr 8th, 2024;Intel
Core 5 120U;/cpu-specs/core-5-120u.c3462;Raptor Lake-U;10  / 12;1.4 to 5 GHz;BGA 1744;10 nm;12 MB;15 W;Jan 8th, 2024;Intel
Core 5 120UL;/cpu-specs/core-5-120ul.c3468;Raptor Lake-PS;10  / 12;1.3 to 4.6 GHz;Socket 1700;10 nm;12 MB;15 W;Apr 8th, 2024;Intel
Core 5 130HL;/cpu-specs/core-5-130hl.c3716;Raptor Lake-PS;12  / 16;2.6 to 4.8 GHz;Socket 1700;10 nm;18 MB;45 W;Apr 8th, 2024;Intel
Core 5 130UL;/cpu-specs/core-5-130ul.c3469;Raptor Lake-PS;10  / 12;1.6 to 4.7 GHz;Socket 1700;10 nm;12 MB;15 W;Apr 8th, 2024;Intel
Core 5 220U;/cpu-specs/core-5-220u.c3470;Raptor Lake-U;10  / 12;1.5 to 5 GHz;BGA 1744;10 nm;12 MB;15 W;Unknown;Intel
Core 7 150HL;/cpu-specs/core-7-150hl.c3717;Raptor Lake-PS;14  / 20;2.4 to 5 GHz;Socket 1700;10 nm;24 MB;45 W;Apr 8th, 2024;Intel
Core 7 150U;/cpu-specs/core-7-150u.c3463;Raptor Lake-U;10  / 12;1.8 to 5.4 GHz;BGA 1744;10 nm;12 MB;15 W;Jan 8th, 2024;Intel
Core 7 150UL;/cpu-specs/core-7-150ul.c3464;Raptor Lake-PS;10  / 12;1.7 to 5 GHz;Socket 1700;10 nm;12 MB;15 W;Apr 8th, 2024;Intel
Core 7 160HL;/cpu-specs/core-7-160hl.c3718;Raptor Lake-PS;14  / 20;2.5 to 5.2 GHz;Socket 1700;10 nm;24 MB;45 W;Apr 8th, 2024;Intel
Core 7 160UL;/cpu-specs/core-7-160ul.c3465;Raptor Lake-PS;10  / 12;1.8 to 5.2 GHz;Socket 1700;10 nm;12 MB;15 W;Apr 8th, 2024;Intel
Core 7 250U;/cpu-specs/core-7-250u.c3466;Raptor Lake-U;10  / 12;1.9 to 5.4 GHz;BGA 1744;10 nm;12 MB;15 W;Unknown;Intel
Core i3-14100;/cpu-specs/core-i3-14100.c3450;Raptor Lake-R;4  / 8;3.5 to 4.7 GHz;Socket 1700;10 nm;12 MB;60 W;Jan 8th, 2024;Intel
Core i3-14100F;/cpu-specs/core-i3-14100f.c3455;Raptor Lake-R;4  / 8;3.5 to 4.7 GHz;Socket 1700;10 nm;12 MB;58 W;Jan 8th, 2024;Intel
Core i3-14100T;/cpu-specs/core-i3-14100t.c3456;Raptor Lake-R;4  / 8;2.7 to 4.4 GHz;Socket 1700;10 nm;12 MB;35 W;Jan 8th, 2024;Intel
Core i5-14400;/cpu-specs/core-i5-14400.c3449;Raptor Lake-R;10  / 16;2.5 to 4.7 GHz;Socket 1700;10 nm;20 MB;65 W;Jan 8th, 2024;Intel
Core i5-14400F;/cpu-specs/core-i5-14400f.c3454;Raptor Lake-R;10  / 16;2.5 to 4.7 GHz;Socket 1700;10 nm;20 MB;65 W;Jan 8th, 2024;Intel
Core i5-14400T;/cpu-specs/core-i5-14400t.c3453;Raptor Lake-R;10  / 16;1.5 to 4.5 GHz;Socket 1700;10 nm;20 MB;35 W;Jan 8th, 2024;Intel
Core i5-14401E;/cpu-specs/core-i5-14401e.c3738;Raptor Lake-R;6  / 12;2.5 to 4.7 GHz;Socket 1700;10 nm;20 MB;65 W;Jul 2024;Intel
Core i5-14401TE;/cpu-specs/core-i5-14401te.c3737;Raptor Lake-R;6  / 12;2 to 4.5 GHz;Socket 1700;10 nm;20 MB;45 W;Jul 2024;Intel
Core i5-14450HX;/cpu-specs/core-i5-14450hx.c3475;Raptor Lake-HX;10  / 16;2.4 to 4.8 GHz;BGA 1964;10 nm;20 MB;55 W;Jan 8th, 2024;Intel
Core i5-14490F;/cpu-specs/core-i5-14490f.c3440;Raptor Lake-R;10  / 16;2.5 to 5 GHz;Socket 1700;10 nm;24 MB;65 W;Jan 2024;Intel
Core i5-14500;/cpu-specs/core-i5-14500.c3448;Raptor Lake-R;14  / 20;2.6 to 5 GHz;Socket 1700;10 nm;24 MB;65 W;Jan 8th, 2024;Intel
Core i5-14500HX;/cpu-specs/core-i5-14500hx.c3474;Raptor Lake-HX;14  / 20;2.6 to 4.9 GHz;BGA 1964;10 nm;24 MB;55 W;Jan 8th, 2024;Intel
Core i5-14500T;/cpu-specs/core-i5-14500t.c3452;Raptor Lake-R;14  / 20;1.7 to 4.8 GHz;Socket 1700;10 nm;24 MB;35 W;Jan 8th, 2024;Intel
Core i5-14501E;/cpu-specs/core-i5-14501e.c3735;Raptor Lake-R;6  / 12;3.3 to 5.2 GHz;Socket 1700;10 nm;24 MB;65 W;Jul 2024;Intel
Core i5-14501TE;/cpu-specs/core-i5-14501te.c3736;Raptor Lake-R;6  / 12;2.2 to 5.1 GHz;Socket 1700;10 nm;24 MB;45 W;Jul 2024;Intel
Core i5-14600;/cpu-specs/core-i5-14600.c3447;Raptor Lake-R;14  / 20;2.7 to 5.2 GHz;Socket 1700;10 nm;24 MB;65 W;Jan 8th, 2024;Intel
Core i5-14600T;/cpu-specs/core-i5-14600t.c3451;Raptor Lake-R;14  / 20;1.8 to 5.1 GHz;Socket 1700;10 nm;24 MB;35 W;Jan 8th, 2024;Intel
Core i7-14650HX;/cpu-specs/core-i7-14650hx.c3473;Raptor Lake-HX;16  / 24;2.2 to 5.2 GHz;BGA 1964;10 nm;30 MB;55 W;Jan 8th, 2024;Intel
Core i7-14700;/cpu-specs/core-i7-14700.c3442;Raptor Lake-R;20  / 28;2.1 to 5.4 GHz;Socket 1700;10 nm;33 MB;65 W;Jan 8th, 2024;Intel
Core i7-14700F;/cpu-specs/core-i7-14700f.c3443;Raptor Lake-R;20  / 28;2.1 to 5.4 GHz;Socket 1700;10 nm;33 MB;65 W;Jan 8th, 2024;Intel
Core i7-14700HX;/cpu-specs/core-i7-14700hx.c3472;Raptor Lake-HX;20  / 28;2.1 to 5.5 GHz;BGA 1964;10 nm;33 MB;55 W;Jan 8th, 2024;Intel
Core i7-14700T;/cpu-specs/core-i7-14700t.c3446;Raptor Lake-R;20  / 28;1.3 to 5.2 GHz;Socket 1700;10 nm;33 MB;35 W;Jan 8th, 2024;Intel
Core i7-14701E;/cpu-specs/core-i7-14701e.c3733;Raptor Lake-R;8  / 16;2.6 to 5.4 GHz;Socket 1700;10 nm;33 MB;65 W;Jul 2024;Intel
